col1,col2,F606W,F814W,col5
1575.516,256.873,26.002,25.468,1
1563.505,272.021,26.831,26.193,1
1567.108,295.946,25.397,24.859,1
1564.357,337.682,24.77,24.288,1
1584.564,417.976,26.501,25.824,1
1589.731,376.159,26.466,25.894,1
1625.19,289.288,23.437,20.745,1
1652.929,376.422,27.822,26.971,1
1652.708,424.252,28.684,27.753,1
1684.771,299.993,25.618,25.083,1
1664.1,381.453,27.515,26.791,1
1710.185,410.67,28.651,27.612,1
1691.402,487.464,25.555,25.064,1
1754.609,287.395,26.723,26.072,1
1749.901,323.738,29.976,28.583,1
1749.203,428.9,28.543,27.406,1
1762.108,472.671,29.222,28.104,1
1837.891,274.856,24.499,24.013,1
1846.117,297.69,26.566,25.861,1
1883.126,256.21,25.355,24.185,1
1886.292,403.15,25.693,25.171,1
1888.411,448.348,26.841,26.224,1
1996.1,399.152,26.458,25.83,1
2026.861,440.609,24.086,23.588,1
2026.256,466.93,28.256,27.383,1
2045.519,395.862,26.458,25.801,1
2063.119,280.709,24.818,24.303,1
2076.025,302.117,25.783,25.202,1
2087.819,334.402,29.501,28.326,1
2110.917,398.866,24.972,24.447,1
2154.46,336.032,27.594,26.776,1
2178.231,321.562,25.786,24.386,1
2173.626,350.122,31.418,28.652,1
2187.105,357.89,27.199,26.425,1
2185.375,464.409,24.13,23.575,1
2243.198,345.411,24.577,24.243,1
2272.248,448.414,25.733,25.115,1
2340.954,267.738,28.486,26.955,1
2339.995,345.305,25.752,25.228,1
2350.681,436.182,28,27.116,1
2382.123,310.718,26.12,25.464,1
2402.54,279.517,27.337,26.687,1
2400.773,401.13,25.387,24.871,1
2408.262,485.658,22.107,21.515,1
2413.701,414.464,24.295,23.796,1
2445.772,264.898,25.39,24.868,1
2439.154,335.004,25.296,24.797,1
2441.862,380.162,27.598,26.736,1
2514.913,238.534,27.233,26.537,1
2585.271,412.235,26.399,25.785,1
2611.967,296.063,28.421,27.504,1
2605.741,424.229,26.108,25.481,1
2650.359,263.384,28.53,27.898,1
2647.196,335.176,24.437,24.129,1
2660.436,382.069,27.853,27.043,1
2669.535,333.809,27.232,26.518,1
2675.971,391.681,24.104,23.576,1
2699.071,275.65,24.18,23.57,1
2702.387,455.834,25.721,25.161,1
2727.195,284.766,28.202,27.255,1
2747.448,239.482,27.167,26.471,1
2788.887,392.547,27.922,27.118,1
2830.51,366.231,28.735,27.726,1
2823.76,452.141,25.309,24.809,1
2868.451,239.556,21.496,21.304,1
2883.565,273.384,27.226,26.417,1
2870.568,446.315,27.681,26.822,1
2889.504,350.759,23.993,23.452,1
2912.812,352.886,26.854,26.227,1
2899.202,403.486,27.114,26.461,1
2930.36,424.371,28.385,27.467,1
2924.931,466.177,26.627,25.957,1
2986.537,450.537,27.171,26.432,1
3011.22,293.676,23.756,22.213,1
2992.013,342.692,27.16,26.437,1
3135.233,355.513,26.427,25.707,1
3135.058,400.667,28.322,27.472,1
3173.261,327.653,28.087,27.255,1
3216.388,394.752,25.019,22.808,1
3236.11,418.04,26.774,26.045,1
3299.986,337.276,30.602,31.181,1
3378.366,354.601,27.623,26.871,1
3373.495,468.704,34.216,28.99,1
3478.775,248.007,28.754,27.991,1
3496.617,323.798,28.658,28.088,1
3514.189,302.658,26.531,25.928,1
3625.103,386.663,27.6,26.713,1
3777.096,333.718,26.293,25.74,1
3782.594,484.942,25.176,24.701,1
3816.258,466.899,26.571,25.939,1
3855.874,293.331,28.833,27.773,1
3927.503,426.517,26.966,26.404,1
3975.736,313.113,26.781,26.155,1
4051.279,251.975,26.709,26.101,1
4094.142,387.681,27.269,26.606,1
142.724,640.966,26.289,25.605,1
138.463,687.377,25.139,24.655,1
187.526,635.831,25.423,24.865,1
219.719,718.471,29.423,28.133,1
236.861,636.179,31.146,29.138,1
315.842,646.189,27.123,26.501,1
360.557,534.932,25.396,24.885,1
366.111,511.534,27.119,26.414,1
397.469,578.83,27.907,27.022,1
413.609,535.551,27.505,26.769,1
633.102,536.338,26.618,25.974,1
687.452,665.342,27.282,26.492,1
709.335,554.838,29.765,28.414,1
695.734,621.312,27.447,26.721,1
733.187,621.479,24.844,24.282,1
713.177,706.262,26.447,25.916,1
761.637,623.511,26.043,25.468,1
783.229,590.264,28.384,27.644,1
788.707,493.268,27.502,26.728,1
828.142,701.262,26.117,24.686,1
861.471,736.631,24.415,23.916,1
869.629,573.311,26.247,25.661,1
957.727,650.56,27.855,27.12,1
989.875,584.861,31.621,29.262,1
1012.627,583.894,25.765,25.199,1
1010.555,691.92,28.625,27.793,1
1045.003,711.627,29.481,28.912,1
1069.097,519.034,29.683,28.088,1
1067.846,560.664,23.516,22.59,1
1081.465,595.226,26.141,25.61,1
1078.079,700.258,24.86,24.328,1
1109.56,657.455,30.958,31.66,1
1178.322,496.18,26.161,25.626,1
1180.446,684.168,25.733,25.195,1
1163.243,734.812,27.538,26.461,1
1191.814,614.277,28.577,28.137,1
1216.191,568.992,26.94,26.261,1
1224.903,680.632,26.412,25.731,1
1264.765,572.626,27.815,27.069,1
1305.086,698.204,28.239,27.338,1
1314.144,501.622,28.05,27.009,1
1332.686,556.471,27.168,26.59,1
1334.507,635.369,27.5,26.788,1
1333.082,658.166,26.504,25.879,1
1434.991,510.655,27.281,26.604,1
1444.164,570.339,27.764,27.069,1
1468.39,558,24.031,23.47,1
1481.693,616.106,26.464,25.892,1
1510.443,702.084,29.822,28.302,1
1535.799,496.844,26.217,25.681,1
1533.222,698.677,28.311,27.562,1
1621.581,692.974,27.009,24.724,1
1638.682,619.29,27.053,26.361,1
1665.706,579.003,25.343,24.81,1
1701.913,626.846,27.082,26.361,1
1756.391,544.683,28.466,27.76,1
1758.625,601.529,27.108,26.455,1
1749.144,661.327,24.368,23.959,1
1766.659,726.97,26.769,26.012,1
1835.411,709.649,27.274,26.47,1
1866.153,531.49,26.264,25.693,1
1959.194,562.92,27.191,26.378,1
1953.82,589.216,25.399,24.863,1
1955.889,689.5,23.163,22.49,1
1978.658,553.438,25.76,25.206,1
1963.233,566.689,25.719,25.173,1
2073.612,656.118,27.102,26.362,1
2074.601,714.896,26.928,26.119,1
2093.09,653.383,27.348,26.642,1
2110.102,657.255,27.951,27.271,1
2186.177,619.419,28.482,27.752,1
2284.815,631.173,25.536,24.989,1
2273.778,648.229,27.467,26.778,1
2334.012,551.392,26.498,25.824,1
2330.191,615.591,27.909,26.981,1
2349.183,495.484,26.358,25.753,1
2354.306,513.38,29.212,28.273,1
2359.004,618.02,28.225,27.368,1
2339.24,639.376,24.398,23.857,1
2376.318,662.59,27.517,26.742,1
2416.924,707.635,27.921,27.102,1
2451.241,691.579,26.903,26.249,1
2480.823,611.297,25.082,24.579,1
2524.151,655.457,24.717,24.135,1
2605.917,661.899,28.474,27.615,1
2592.124,698.495,26.085,25.506,1
2620.454,542.288,27.9,25.166,1
2637.641,577.373,24.909,24.421,1
2617.404,701.498,29.873,28.771,1
2657.42,548.96,24.967,24.468,1
2683.821,524.5,26.876,25.255,1
2718.185,488.404,28.644,27.986,1
2727.871,576.893,27.998,27.084,1
2735.255,595.208,27.244,26.571,1
2734.303,619.816,25.404,24.799,1
2735.982,697.844,26.083,25.503,1
2745.329,637.09,24.391,23.869,1
2782.983,500.563,26.881,26.235,1
2778.498,708.28,25.958,25.42,1
2813.031,594.042,25.678,25.127,1
2855.075,689.209,26.778,26.107,1
2864.295,588.785,27.973,27.036,1
2960.448,637.3,26.199,25.596,1
3024.515,659.517,27.735,26.895,1
3069.614,576.661,27.329,24.494,1
3106.387,707.201,25.851,25.238,1
3122.902,499.726,26.346,25.656,1
3131.177,714.516,28.748,27.798,1
3173.54,719.656,28.708,27.717,1
3194.158,603.644,28.027,27.098,1
3209.53,613.523,25.146,23.487,1
3223.774,650.953,25.002,24.49,1
3336.802,657.37,27.194,26.374,1
3335.508,676.24,26.885,24.172,1
3373.417,498.977,26.391,25.75,1
3393.115,515.971,26.852,26.181,1
3478.882,711.842,27.988,27.229,1
3502.896,505.996,28.461,27.436,1
3558.4,634.174,26.029,24.66,1
3573.311,490.959,25.9,24.459,1
3601.66,551.911,28.502,27.673,1
3613.034,659.07,27.945,27.157,1
