col1,col2,F606W,F814W,col5
1220.15,1009.38,27.1248,26.5734,1
1240.038,1080.179,26.3518,25.8054,1
1387.327,1034.73,25.0968,24.6424,1
1376.202,1136.945,26.4238,25.8634,1
1416.324,1059.625,28.4038,27.6264,1
1416.786,1132.765,26.2798,25.7704,1
1494.196,1017.889,28.0238,27.2154,1
1611.667,1011.579,28.5908,27.6474,1
1641.664,1046.136,24.6593,24.2101,1
1644.382,1131.937,27.8818,25.6804,1
1674.177,1084.908,27.3458,26.7084,1
1685.214,1220.506,28.6678,28.0344,1
1724.359,1165.747,26.9758,26.2624,1
1810.909,993.349,27.0888,26.5064,1
1803.064,1151.233,27.3098,26.6644,1
1820.182,1143.857,26.8358,26.2834,1
1860.49,1186.531,28.2398,27.5354,1
1901.539,1124.899,26.2188,23.1594,1
1958.759,1123.635,26.9918,26.3834,1
1950.327,1228.297,27.4308,26.7844,1
1982.922,1100.95,24.2512,23.7971,1
2064.128,1039.712,28.2498,27.5494,1
2065.104,1139.002,25.7258,25.2544,1
2116.957,997.743,26.3368,25.8244,1
2147.998,1080.801,25.9868,25.4814,1
2168.459,1144.681,24.9418,24.4254,1
2190.863,1077.755,26.7198,25.9064,1
2189.987,1215.713,27.1948,26.5964,1
2233.513,1202.854,26.9028,26.3404,1
2259.818,1118.974,26.4348,25.9204,1
2257.378,1207.59,25.3858,24.9784,1
2332.69,1165.394,22.2277,21.5499,1
2352.018,1063.189,27.4968,26.9274,1
2376.852,1073.161,28.1218,27.3974,1
2453.137,1062.036,28.4438,27.6564,1
2451.842,1101.783,28.2968,27.5724,1
2509.752,1030.454,26.1568,25.6254,1
2509.446,1169.891,24.7878,24.3574,1
2515.787,996.643,26.0578,25.5424,1
2529.541,1082.89,28.6508,27.9714,1
2525.969,1152.292,26.9848,26.3864,1
2514.193,1210.371,26.9918,26.4224,1
2557.794,1235.844,25.9188,25.3924,1
2585.038,1203.423,27.4578,26.7104,1
2651.728,1147.857,27.0228,26.4494,1
2682.199,1059.172,28.1398,27.2974,1
2722.823,989.151,26.6518,26.1034,1
2753.604,998.252,23.4143,22.7938,1
2777.508,1163.141,23.4862,22.9476,1
2808.469,1210.206,26.9218,26.3164,1
2855.512,1028.245,25.1748,24.6984,1
2843.638,1137.739,26.5048,25.9864,1
2912.163,1233.578,27.5018,26.8504,1
3018.37,1024.758,28.0758,27.2654,1
3037.638,1020.793,27.9058,27.1444,1
3070.115,1149.564,27.6878,26.9764,1
3065.345,1187.394,26.7648,26.2254,1
3111.653,1197.822,26.7568,26.1944,1
3130.38,989.745,26.2898,25.7734,1
3128.417,1225.642,27.8548,27.1524,1
3139.588,1112.75,26.8678,26.1734,1
3168.648,1073.234,27.1368,26.5424,1
3177.331,1135.478,27.9668,27.3484,1
3205.919,1096.883,27.7028,27.0314,1
3210.609,1167.659,28.0898,27.3134,1
3227.613,1102.363,27.6138,26.9834,1
3278.433,1119.687,25.2758,24.8444,1
3306,1157.45,27.2338,26.6324,1
3338.644,1140.149,27.7178,27.0194,1
3372.694,1175.523,26.6498,26.0824,1
3406.126,1010.893,27.8808,27.4124,1
3393.352,1040.183,27.7608,26.9764,1
3431.727,1180.317,26.1588,25.5754,1
3481.17,1198.217,27.9708,27.3574,1
3506.831,1128.366,27.6098,26.9394,1
3524.372,1036.673,25.7938,25.2854,1
3536.998,1100.089,26.1348,25.5494,1
3547.477,1131.658,28.7658,27.8524,1
3565.807,997.804,25.5298,25.0244,1
3580.571,1001.775,26.8698,26.2684,1
